StartLine	EndLine	Event	SelectedFields
25088	25128	AISETSTATE CALLSITE	ElapsedMs=86989.490 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Recover_N_Fwd_00_%_00_P0_0_L.xmot
25129	25153	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=86989.536 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
25154	25178	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=86989.558 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
25179	25195	C1 LIFECYCLE START	ElapsedMs=86990.589 | Actor=PC_Hero | Generation=73 | Status=CANDIDATE | PhysicalCollisionChanged=0
25196	25209	C1-O2 OUTER BINDING	ElapsedMs=86990.613 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=73 | Status=CANDIDATE | PhysicalCollisionChanged=0
25210	25234	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=86990.627 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
25235	25259	PRIMARYFIRST StopMotion	ElapsedMs=86990.663
25260	25292	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=86990.686 | Actor=PC_Hero
25293	25317	PRIMARYFIRST PlayMotion	ElapsedMs=86990.685
25318	25328	C1 LIFECYCLE STATUS	ElapsedMs=86990.778 | Event=PERSISTED | Actor=PC_Hero | Generation=73 | Status=PERSISTED | PhysicalCollisionChanged=0
25329	25353	MARKER OWNERSHIP DECISION	ElapsedMs=86990.793 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
25354	25398	AIFULLSTOP CALLSITE	ElapsedMs=87202.447 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=1 | CurrentStateTime=0.224992 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
